Year,Cause Name,State,Age-adjusted Death Rate
2008,Alzheimer's disease,Connecticut,17.8
2007,Alzheimer's disease,Connecticut,16.6
2006,Alzheimer's disease,Connecticut,16.0
2005,Alzheimer's disease,Connecticut,17.4
2004,Alzheimer's disease,Connecticut,15.7
2003,Alzheimer's disease,Connecticut,14.2
2002,Alzheimer's disease,Connecticut,13.6
2001,Alzheimer's disease,Connecticut,14.0
2000,Alzheimer's disease,Connecticut,13.1
1999,Alzheimer's disease,Connecticut,11.4
2016,Alzheimer's disease,Delaware,27.4
2015,Alzheimer's disease,Delaware,22.6
2014,Alzheimer's disease,Delaware,16.6
2013,Alzheimer's disease,Delaware,17.6
2012,Alzheimer's disease,Delaware,20.2
2011,Alzheimer's disease,Delaware,20.0
2010,Alzheimer's disease,Delaware,21.9
2009,Alzheimer's disease,Delaware,16.9
2008,Alzheimer's disease,Delaware,21.7
2007,Alzheimer's disease,Delaware,22.1
2006,Alzheimer's disease,Delaware,21.6
2005,Alzheimer's disease,Delaware,21.2
2004,Alzheimer's disease,Delaware,19.0
2003,Alzheimer's disease,Delaware,18.6
2002,Alzheimer's disease,Delaware,16.7
2001,Alzheimer's disease,Delaware,18.0
2000,Alzheimer's disease,Delaware,15.1
1999,Alzheimer's disease,Delaware,15.0
2016,Alzheimer's disease,District of Columbia,18.3
2015,Alzheimer's disease,District of Columbia,19.2
2014,Alzheimer's disease,District of Columbia,18.3
2013,Alzheimer's disease,District of Columbia,19.8
2012,Alzheimer's disease,District of Columbia,20.5
2011,Alzheimer's disease,District of Columbia,19.6
2010,Alzheimer's disease,District of Columbia,18.7
2009,Alzheimer's disease,District of Columbia,15.7
2008,Alzheimer's disease,District of Columbia,22.5
2007,Alzheimer's disease,District of Columbia,24.0
2006,Alzheimer's disease,District of Columbia,20.7
2005,Alzheimer's disease,District of Columbia,19.7
2004,Alzheimer's disease,District of Columbia,21.2
2003,Alzheimer's disease,District of Columbia,17.0
2002,Alzheimer's disease,District of Columbia,19.0
2001,Alzheimer's disease,District of Columbia,17.5
2000,Alzheimer's disease,District of Columbia,13.1
1999,Alzheimer's disease,District of Columbia,9.5
2016,Alzheimer's disease,Florida,21.5
2015,Alzheimer's disease,Florida,21.8
2014,Alzheimer's disease,Florida,18.8
2013,Alzheimer's disease,Florida,16.9
2012,Alzheimer's disease,Florida,15.2
2011,Alzheimer's disease,Florida,16.0
2010,Alzheimer's disease,Florida,18.1
2009,Alzheimer's disease,Florida,17.6
2008,Alzheimer's disease,Florida,18.6
2007,Alzheimer's disease,Florida,18.7
2006,Alzheimer's disease,Florida,19.3
2005,Alzheimer's disease,Florida,19.4
2004,Alzheimer's disease,Florida,18.6
2003,Alzheimer's disease,Florida,18.9
2002,Alzheimer's disease,Florida,18.1
2001,Alzheimer's disease,Florida,16.4
2000,Alzheimer's disease,Florida,15.0
1999,Alzheimer's disease,Florida,14.3
2016,Alzheimer's disease,Georgia,44.8
2015,Alzheimer's disease,Georgia,42.4
2014,Alzheimer's disease,Georgia,31.7
2013,Alzheimer's disease,Georgia,25.0
2012,Alzheimer's disease,Georgia,26.2
2011,Alzheimer's disease,Georgia,28.9
2010,Alzheimer's disease,Georgia,28.3
2009,Alzheimer's disease,Georgia,25.9
2008,Alzheimer's disease,Georgia,27.5
2007,Alzheimer's disease,Georgia,27.2
2006,Alzheimer's disease,Georgia,27.5
2005,Alzheimer's disease,Georgia,27.4
2004,Alzheimer's disease,Georgia,27.8
2003,Alzheimer's disease,Georgia,26.9
2002,Alzheimer's disease,Georgia,25.5
2001,Alzheimer's disease,Georgia,24.1
2000,Alzheimer's disease,Georgia,21.3
1999,Alzheimer's disease,Georgia,18.8
2016,Alzheimer's disease,Hawaii,20.1
2015,Alzheimer's disease,Hawaii,19.5
2014,Alzheimer's disease,Hawaii,15.0
2013,Alzheimer's disease,Hawaii,12.6
2012,Alzheimer's disease,Hawaii,12.4
2011,Alzheimer's disease,Hawaii,10.4
2010,Alzheimer's disease,Hawaii,10.5
2009,Alzheimer's disease,Hawaii,14.8
2008,Alzheimer's disease,Hawaii,13.3
2007,Alzheimer's disease,Hawaii,15.7
2006,Alzheimer's disease,Hawaii,13.2
2005,Alzheimer's disease,Hawaii,13.1
2004,Alzheimer's disease,Hawaii,12.2
2003,Alzheimer's disease,Hawaii,11.9
2002,Alzheimer's disease,Hawaii,10.9
2001,Alzheimer's disease,Hawaii,9.8
2000,Alzheimer's disease,Hawaii,10.0
1999,Alzheimer's disease,Hawaii,9.4
2016,Alzheimer's disease,Idaho,33.9
2015,Alzheimer's disease,Idaho,31.6
2014,Alzheimer's disease,Idaho,22.4
2013,Alzheimer's disease,Idaho,21.0
2012,Alzheimer's disease,Idaho,21.9
2011,Alzheimer's disease,Idaho,25.7
2010,Alzheimer's disease,Idaho,26.8
2009,Alzheimer's disease,Idaho,24.7
2008,Alzheimer's disease,Idaho,27.2
2007,Alzheimer's disease,Idaho,29.4
2006,Alzheimer's disease,Idaho,29.0
2005,Alzheimer's disease,Idaho,30.7
2004,Alzheimer's disease,Idaho,26.7
2003,Alzheimer's disease,Idaho,28.3
2002,Alzheimer's disease,Idaho,26.1
2001,Alzheimer's disease,Idaho,24.7
2000,Alzheimer's disease,Idaho,22.6
1999,Alzheimer's disease,Idaho,21.4
2016,Alzheimer's disease,Illinois,25.4
2015,Alzheimer's disease,Illinois,24.4
2014,Alzheimer's disease,Illinois,21.9
2013,Alzheimer's disease,Illinois,19.8
2012,Alzheimer's disease,Illinois,19.8
2011,Alzheimer's disease,Illinois,20.4
2010,Alzheimer's disease,Illinois,20.9
2009,Alzheimer's disease,Illinois,21.0
2008,Alzheimer's disease,Illinois,23.6
2007,Alzheimer's disease,Illinois,20.5
2006,Alzheimer's disease,Illinois,21.3
2005,Alzheimer's disease,Illinois,21.9
2004,Alzheimer's disease,Illinois,20.4
2003,Alzheimer's disease,Illinois,20.9
2002,Alzheimer's disease,Illinois,19.3
2001,Alzheimer's disease,Illinois,17.5
2000,Alzheimer's disease,Illinois,17.7
1999,Alzheimer's disease,Illinois,15.9
2016,Alzheimer's disease,Indiana,34.9
2015,Alzheimer's disease,Indiana,33.1
2014,Alzheimer's disease,Indiana,29.4
2013,Alzheimer's disease,Indiana,28.5
2012,Alzheimer's disease,Indiana,28.1
2011,Alzheimer's disease,Indiana,28.9
2010,Alzheimer's disease,Indiana,27.8
2009,Alzheimer's disease,Indiana,27.4
2008,Alzheimer's disease,Indiana,29.3
2007,Alzheimer's disease,Indiana,25.1
2006,Alzheimer's disease,Indiana,26.1
2005,Alzheimer's disease,Indiana,26.0
2004,Alzheimer's disease,Indiana,24.9
2003,Alzheimer's disease,Indiana,24.6
2002,Alzheimer's disease,Indiana,24.3
2001,Alzheimer's disease,Indiana,20.5
2000,Alzheimer's disease,Indiana,20.4
1999,Alzheimer's disease,Indiana,18.9
2016,Alzheimer's disease,Iowa,31.3
2015,Alzheimer's disease,Iowa,29.9
2014,Alzheimer's disease,Iowa,29.6
2013,Alzheimer's disease,Iowa,28.2
2012,Alzheimer's disease,Iowa,30.5
2011,Alzheimer's disease,Iowa,32.4
2010,Alzheimer's disease,Iowa,32.9
2009,Alzheimer's disease,Iowa,29.9
2008,Alzheimer's disease,Iowa,31.5
2007,Alzheimer's disease,Iowa,28.7
2006,Alzheimer's disease,Iowa,27.0
2005,Alzheimer's disease,Iowa,26.5
2004,Alzheimer's disease,Iowa,24.0
2003,Alzheimer's disease,Iowa,22.1
2002,Alzheimer's disease,Iowa,22.6
2001,Alzheimer's disease,Iowa,21.8
2000,Alzheimer's disease,Iowa,19.7
1999,Alzheimer's disease,Iowa,18.2
2016,Alzheimer's disease,Kansas,23.1
2015,Alzheimer's disease,Kansas,23.5
2014,Alzheimer's disease,Kansas,21.9
2013,Alzheimer's disease,Kansas,20.8
2012,Alzheimer's disease,Kansas,22.5
2011,Alzheimer's disease,Kansas,22.6
2010,Alzheimer's disease,Kansas,24.2
2009,Alzheimer's disease,Kansas,23.9
2008,Alzheimer's disease,Kansas,28.8
2007,Alzheimer's disease,Kansas,25.8
2006,Alzheimer's disease,Kansas,25.1
2005,Alzheimer's disease,Kansas,28.1
2004,Alzheimer's disease,Kansas,24.1
2003,Alzheimer's disease,Kansas,24.7
2002,Alzheimer's disease,Kansas,24.1
2001,Alzheimer's disease,Kansas,20.5
2000,Alzheimer's disease,Kansas,20.2
1999,Alzheimer's disease,Kansas,16.6
2016,Alzheimer's disease,Kentucky,35.1
2015,Alzheimer's disease,Kentucky,34.9
2014,Alzheimer's disease,Kentucky,32.1
2013,Alzheimer's disease,Kentucky,31.4
2012,Alzheimer's disease,Kentucky,33.0
2011,Alzheimer's disease,Kentucky,32.5
2010,Alzheimer's disease,Kentucky,33.5
2009,Alzheimer's disease,Kentucky,31.3
2008,Alzheimer's disease,Kentucky,32.3
2007,Alzheimer's disease,Kentucky,28.7
2006,Alzheimer's disease,Kentucky,28.1
2005,Alzheimer's disease,Kentucky,28.7
2004,Alzheimer's disease,Kentucky,25.1
2003,Alzheimer's disease,Kentucky,27.7
2002,Alzheimer's disease,Kentucky,26.3
2001,Alzheimer's disease,Kentucky,25.1
2000,Alzheimer's disease,Kentucky,22.1
1999,Alzheimer's disease,Kentucky,19.3
2016,Alzheimer's disease,Louisiana,45.0
2015,Alzheimer's disease,Louisiana,42.5
2014,Alzheimer's disease,Louisiana,36.0
2013,Alzheimer's disease,Louisiana,32.9
2012,Alzheimer's disease,Louisiana,31.6
2011,Alzheimer's disease,Louisiana,32.4
2010,Alzheimer's disease,Louisiana,30.8
2009,Alzheimer's disease,Louisiana,32.3
2008,Alzheimer's disease,Louisiana,33.4
2007,Alzheimer's disease,Louisiana,33.3
2006,Alzheimer's disease,Louisiana,32.9
2005,Alzheimer's disease,Louisiana,34.8
2004,Alzheimer's disease,Louisiana,32.0
2003,Alzheimer's disease,Louisiana,30.0
2002,Alzheimer's disease,Louisiana,28.5
2001,Alzheimer's disease,Louisiana,24.6
2000,Alzheimer's disease,Louisiana,20.9
1999,Alzheimer's disease,Louisiana,17.9
2016,Alzheimer's disease,Maine,29.6
2015,Alzheimer's disease,Maine,28.4
2014,Alzheimer's disease,Maine,22.7
2013,Alzheimer's disease,Maine,21.6
2012,Alzheimer's disease,Maine,23.5
2011,Alzheimer's disease,Maine,26.8
2010,Alzheimer's disease,Maine,28.6
2009,Alzheimer's disease,Maine,26.9
2008,Alzheimer's disease,Maine,26.3
2007,Alzheimer's disease,Maine,28.1
2006,Alzheimer's disease,Maine,29.2
2005,Alzheimer's disease,Maine,29.9
2004,Alzheimer's disease,Maine,32.7
2003,Alzheimer's disease,Maine,30.2
2002,Alzheimer's disease,Maine,33.6
2001,Alzheimer's disease,Maine,31.3
2000,Alzheimer's disease,Maine,31.6
1999,Alzheimer's disease,Maine,29.6
2016,Alzheimer's disease,Maryland,17.4
2015,Alzheimer's disease,Maryland,16.4
2014,Alzheimer's disease,Maryland,14.5
2013,Alzheimer's disease,Maryland,14.3
2012,Alzheimer's disease,Maryland,14.7
2011,Alzheimer's disease,Maryland,15.1
2010,Alzheimer's disease,Maryland,16.8
2009,Alzheimer's disease,Maryland,16.3
2008,Alzheimer's disease,Maryland,18.2
2007,Alzheimer's disease,Maryland,16.2
2006,Alzheimer's disease,Maryland,17.3
2005,Alzheimer's disease,Maryland,18.7
2004,Alzheimer's disease,Maryland,18.3
2003,Alzheimer's disease,Maryland,17.8
2002,Alzheimer's disease,Maryland,18.4
2001,Alzheimer's disease,Maryland,20.5
2000,Alzheimer's disease,Maryland,18.0
1999,Alzheimer's disease,Maryland,15.4
2016,Alzheimer's disease,Massachusetts,18.6
2015,Alzheimer's disease,Massachusetts,20.2
2014,Alzheimer's disease,Massachusetts,19.0
2013,Alzheimer's disease,Massachusetts,19.4
2012,Alzheimer's disease,Massachusetts,19.8
2011,Alzheimer's disease,Massachusetts,21.2
2010,Alzheimer's disease,Massachusetts,21.2
2009,Alzheimer's disease,Massachusetts,20.6
2008,Alzheimer's disease,Massachusetts,22.5
2007,Alzheimer's disease,Massachusetts,21.1
2006,Alzheimer's disease,Massachusetts,19.8
2005,Alzheimer's disease,Massachusetts,21.1
2004,Alzheimer's disease,Massachusetts,22.0
2003,Alzheimer's disease,Massachusetts,21.3
2002,Alzheimer's disease,Massachusetts,21.2
2001,Alzheimer's disease,Massachusetts,20.9
2000,Alzheimer's disease,Massachusetts,19.8
1999,Alzheimer's disease,Massachusetts,16.5
2016,Alzheimer's disease,Michigan,33.6
2015,Alzheimer's disease,Michigan,30.1
2014,Alzheimer's disease,Michigan,27.0
2013,Alzheimer's disease,Michigan,26.4
2012,Alzheimer's disease,Michigan,25.6
2011,Alzheimer's disease,Michigan,24.6
2010,Alzheimer's disease,Michigan,24.0
2009,Alzheimer's disease,Michigan,22.9
2008,Alzheimer's disease,Michigan,24.8
2007,Alzheimer's disease,Michigan,22.4
2006,Alzheimer's disease,Michigan,22.0
2005,Alzheimer's disease,Michigan,22.9
2004,Alzheimer's disease,Michigan,22.0
2003,Alzheimer's disease,Michigan,21.4
2002,Alzheimer's disease,Michigan,20.0
2001,Alzheimer's disease,Michigan,18.8
2000,Alzheimer's disease,Michigan,17.5
1999,Alzheimer's disease,Michigan,15.4
2016,Alzheimer's disease,Minnesota,31.8
2015,Alzheimer's disease,Minnesota,26.0
2014,Alzheimer's disease,Minnesota,24.2
2013,Alzheimer's disease,Minnesota,21.5
2012,Alzheimer's disease,Minnesota,22.2
2011,Alzheimer's disease,Minnesota,22.8
2010,Alzheimer's disease,Minnesota,23.4
2009,Alzheimer's disease,Minnesota,22.2
2008,Alzheimer's disease,Minnesota,22.3
2007,Alzheimer's disease,Minnesota,19.9
2006,Alzheimer's disease,Minnesota,22.6
2005,Alzheimer's disease,Minnesota,23.5
2004,Alzheimer's disease,Minnesota,22.3
2003,Alzheimer's disease,Minnesota,22.7
2002,Alzheimer's disease,Minnesota,22.3
2001,Alzheimer's disease,Minnesota,22.1
2000,Alzheimer's disease,Minnesota,22.2
1999,Alzheimer's disease,Minnesota,21.1
2016,Alzheimer's disease,Mississippi,45.8
2015,Alzheimer's disease,Mississippi,44.1
2014,Alzheimer's disease,Mississippi,35.2
2013,Alzheimer's disease,Mississippi,30.1
2012,Alzheimer's disease,Mississippi,30.7
2011,Alzheimer's disease,Mississippi,33.6
2010,Alzheimer's disease,Mississippi,32.6
2009,Alzheimer's disease,Mississippi,32.1
2008,Alzheimer's disease,Mississippi,32.9
2007,Alzheimer's disease,Mississippi,28.9
2006,Alzheimer's disease,Mississippi,27.4
2005,Alzheimer's disease,Mississippi,26.6
2004,Alzheimer's disease,Mississippi,23.7
2003,Alzheimer's disease,Mississippi,22.0
2002,Alzheimer's disease,Mississippi,21.6
2001,Alzheimer's disease,Mississippi,16.8
2000,Alzheimer's disease,Mississippi,16.5
1999,Alzheimer's disease,Mississippi,13.3
2016,Alzheimer's disease,Missouri,30.0
2015,Alzheimer's disease,Missouri,28.7
2014,Alzheimer's disease,Missouri,27.4
2013,Alzheimer's disease,Missouri,27.5
2012,Alzheimer's disease,Missouri,25.9
2011,Alzheimer's disease,Missouri,27.4
2010,Alzheimer's disease,Missouri,28.8
2009,Alzheimer's disease,Missouri,25.5
2008,Alzheimer's disease,Missouri,30.0
2007,Alzheimer's disease,Missouri,25.5
2006,Alzheimer's disease,Missouri,25.1
2005,Alzheimer's disease,Missouri,25.6
2004,Alzheimer's disease,Missouri,21.9
2003,Alzheimer's disease,Missouri,20.6
2002,Alzheimer's disease,Missouri,19.0
2001,Alzheimer's disease,Missouri,17.8
2000,Alzheimer's disease,Missouri,17.8
1999,Alzheimer's disease,Missouri,15.0
2016,Alzheimer's disease,Montana,22.6
2015,Alzheimer's disease,Montana,20.7
2014,Alzheimer's disease,Montana,19.2
2013,Alzheimer's disease,Montana,20.7
2012,Alzheimer's disease,Montana,20.8
2011,Alzheimer's disease,Montana,20.7
2010,Alzheimer's disease,Montana,25.2
2009,Alzheimer's disease,Montana,21.6
2008,Alzheimer's disease,Montana,25.4
2007,Alzheimer's disease,Montana,22.6
2006,Alzheimer's disease,Montana,20.1
2005,Alzheimer's disease,Montana,24.6
2004,Alzheimer's disease,Montana,21.5
2003,Alzheimer's disease,Montana,22.7
2002,Alzheimer's disease,Montana,27.9
2001,Alzheimer's disease,Montana,24.9
2000,Alzheimer's disease,Montana,22.4
1999,Alzheimer's disease,Montana,21.4
2016,Alzheimer's disease,Nebraska,26.2
2015,Alzheimer's disease,Nebraska,24.8
2014,Alzheimer's disease,Nebraska,21.9
2013,Alzheimer's disease,Nebraska,23.6
2012,Alzheimer's disease,Nebraska,24.4
2011,Alzheimer's disease,Nebraska,26.0
2010,Alzheimer's disease,Nebraska,24.9
2009,Alzheimer's disease,Nebraska,25.6
2008,Alzheimer's disease,Nebraska,27.3
2007,Alzheimer's disease,Nebraska,23.5
2006,Alzheimer's disease,Nebraska,23.3
2005,Alzheimer's disease,Nebraska,22.3
2004,Alzheimer's disease,Nebraska,22.0
2003,Alzheimer's disease,Nebraska,22.2
2002,Alzheimer's disease,Nebraska,22.3
2001,Alzheimer's disease,Nebraska,21.0
2000,Alzheimer's disease,Nebraska,17.4
1999,Alzheimer's disease,Nebraska,16.3
2016,Alzheimer's disease,Nevada,24.6
2015,Alzheimer's disease,Nevada,32.9
2014,Alzheimer's disease,Nevada,23.8
2013,Alzheimer's disease,Nevada,18.4
2012,Alzheimer's disease,Nevada,15.3
2011,Alzheimer's disease,Nevada,15.8
2010,Alzheimer's disease,Nevada,14.2
2009,Alzheimer's disease,Nevada,15.5
2008,Alzheimer's disease,Nevada,14.5
2007,Alzheimer's disease,Nevada,13.4
2006,Alzheimer's disease,Nevada,15.9
2005,Alzheimer's disease,Nevada,18.1
2004,Alzheimer's disease,Nevada,18.2
2003,Alzheimer's disease,Nevada,19.6
2002,Alzheimer's disease,Nevada,17.3
2001,Alzheimer's disease,Nevada,14.9
2000,Alzheimer's disease,Nevada,14.5
1999,Alzheimer's disease,Nevada,13.6
2016,Alzheimer's disease,New Hampshire,24.8
2015,Alzheimer's disease,New Hampshire,25.5
2014,Alzheimer's disease,New Hampshire,24.0
2013,Alzheimer's disease,New Hampshire,21.5
2012,Alzheimer's disease,New Hampshire,25.1
2011,Alzheimer's disease,New Hampshire,25.7
2010,Alzheimer's disease,New Hampshire,26.9
2009,Alzheimer's disease,New Hampshire,25.0
2008,Alzheimer's disease,New Hampshire,27.4
2007,Alzheimer's disease,New Hampshire,29.5
2006,Alzheimer's disease,New Hampshire,27.1
2005,Alzheimer's disease,New Hampshire,28.3
2004,Alzheimer's disease,New Hampshire,25.9
2003,Alzheimer's disease,New Hampshire,23.0
2002,Alzheimer's disease,New Hampshire,25.6
2001,Alzheimer's disease,New Hampshire,25.6
2000,Alzheimer's disease,New Hampshire,23.4
1999,Alzheimer's disease,New Hampshire,23.2
2016,Alzheimer's disease,New Jersey,21.1
2015,Alzheimer's disease,New Jersey,19.8
2014,Alzheimer's disease,New Jersey,17.4
2013,Alzheimer's disease,New Jersey,16.3
2012,Alzheimer's disease,New Jersey,17.1
2011,Alzheimer's disease,New Jersey,18.2
2010,Alzheimer's disease,New Jersey,17.7
2009,Alzheimer's disease,New Jersey,17.9
2008,Alzheimer's disease,New Jersey,18.2
2007,Alzheimer's disease,New Jersey,18.2
2006,Alzheimer's disease,New Jersey,16.9
2005,Alzheimer's disease,New Jersey,19.0
2004,Alzheimer's disease,New Jersey,18.3
2003,Alzheimer's disease,New Jersey,17.7
2002,Alzheimer's disease,New Jersey,16.7
2001,Alzheimer's disease,New Jersey,15.3
2000,Alzheimer's disease,New Jersey,14.4
1999,Alzheimer's disease,New Jersey,12.0
2016,Alzheimer's disease,New Mexico,23.5
2015,Alzheimer's disease,New Mexico,19.9
2014,Alzheimer's disease,New Mexico,18.9
2013,Alzheimer's disease,New Mexico,14.9
2012,Alzheimer's disease,New Mexico,17.1
2011,Alzheimer's disease,New Mexico,19.8
2010,Alzheimer's disease,New Mexico,16.8
2009,Alzheimer's disease,New Mexico,18.6
2008,Alzheimer's disease,New Mexico,19.0
2007,Alzheimer's disease,New Mexico,17.1
2006,Alzheimer's disease,New Mexico,19.3
2005,Alzheimer's disease,New Mexico,18.7
2004,Alzheimer's disease,New Mexico,19.3
2003,Alzheimer's disease,New Mexico,21.6
2002,Alzheimer's disease,New Mexico,19.9
2001,Alzheimer's disease,New Mexico,18.6
2000,Alzheimer's disease,New Mexico,17.7
1999,Alzheimer's disease,New Mexico,16.4
